6 3 3 1 4 4
-4.3262696161397995e+00 -3.3957212042245999e-16 -2.4286128663675299e-16 -4.7357950894166834e-16 2.3851239896903193e-16 -1.6755301154387680e-16
-2.9837243786801082e-16 -2.9963752985660514e+00 -3.3219954564955856e-16 1.6653345369377348e-16 1.5141973801574582e-16 3.2575166542700243e-16
-1.3530843112619095e-16 -2.5283594662361963e-16 -1.0701057324436678e+00 -1.1102230246251565e-16 -5.5998410247313725e-16 -6.6557431056338957e-16
-2.9381878874357170e-16 1.4571677198205180e-16 -2.2204460492503131e-16 1.0701057324436674e+00 -9.5515992305186238e-16 1.3069889597153752e-15
2.9143354396410359e-16 2.2204460492503131e-16 -4.4408920985006262e-16 -8.6562701451242674e-16 2.9963752985660479e+00 -5.2796439917657940e-16
0.0000000000000000e+00 4.4408920985006262e-16 -9.6840938046405256e-16 1.4016565685892601e-15 -2.7990936990938598e-16 4.3262696161397987e+00
6.8690742511513481e+00 -1.5299445321285141e-02 -9.7098502483897742e-01 -1.1815261881915685e-02 3.6568195399740225e-02 -1.7519591837379686e-03
-1.5299445321285141e-02 5.8991106038671139e+00 -4.1994651689252573e-02 1.0047228510183950e+00 -2.0368391101448582e-02 3.6587730685818047e-02
-9.7098502483897742e-01 -4.1994651689252573e-02 5.8660861383846994e+00 7.6564879254613513e-02 1.0030334293570837e+00 -2.5467767122287818e-02
-1.1815261881915685e-02 1.0047228510183950e+00 7.6564879254613513e-02 5.8653783958110273e+00 -1.1455132185317214e-01 -9.6613132758497722e-01
3.6568195399740225e-02 -2.0368391101448582e-02 1.0030334293570837e+00 -1.1455132185317214e-01 5.8972195202215723e+00 -1.7853349688492240e-01
-1.7519591837379686e-03 3.6587730685818047e-02 -2.5467767122287818e-02 -9.6613132758497722e-01 -1.7853349688492240e-01 6.8584447471634711e+00
-1.5299445321285091e-02 1.8179709924097411e+00 -2.1179825899515062e-02 4.9316785804829955e-01 -1.1681977892449664e-02 1.0020580892452606e-02
1.8179709924097411e+00 6.8743140922803174e-04 1.3222701489107820e+00 4.8105135389559107e-02 5.0080162695454167e-01 -1.6736398555851011e-02
-2.1179825899515062e-02 1.3222701489107820e+00 1.2227279498087502e-02 -1.3123314510719906e+00 8.1882693955665761e-02 4.8918283525846440e-01
4.9316785804829955e-01 4.8105135389559107e-02 -1.3123314510719906e+00 2.1873417255772017e-02 1.3203405368202885e+00 -1.3719107432393571e-01
-1.1681977892449664e-02 5.0080162695454167e-01 8.1882693955665761e-02 1.3203405368202885e+00 4.6624424247635864e-03 1.8054163493565147e+00
1.0020580892452606e-02 -1.6736398555851011e-02 4.8918283525846440e-01 -1.3719107432393571e-01 1.8054163493565147e+00 1.7853349688492168e-01
-9.7098502483897675e-01 -2.1179825899514955e-02 1.0317605501209890e+00 2.2436675598200961e-02 2.7986346680890634e-01 -8.8880554201526026e-03
-2.1179825899514955e-02 5.8970411401408976e-02 6.1915990797159080e-04 -7.4890905649493023e-01 4.7304264666626641e-02 2.7804971079527718e-01
