8 36
 -1.6466740763003578E+00 -9.5617138296580685E-17  1.0790886846304346E-01  1.3123680261740162E-15  5.7980197756259913E-02 -1.3074218598344119E-15 -1.0591065916379500E-02 -9.4143707661146011E-16
 -1.3556868941450918E-16 -1.4001361991020338E+00 -2.7570685076444027E-17  1.3860035608372134E-01  8.1327070333758753E-16  5.9844520233110161E-02  3.2118466636222691E-15 -7.7110432192749453E-03
  1.0790886846304330E-01 -8.0625103589862934E-17 -1.1753439057688313E+00 -6.7962157208793890E-16  1.9296959916007026E-02 -4.2682243101296388E-15  9.0404930275266721E-02  7.3568585986667608E-15
  1.1863290667725007E-15  1.3860035608372129E-01 -5.8320510151682940E-16 -1.0119710760187404E+00  1.7343334793790946E-15  8.3874486529705472E-02 -8.3341271971195384E-15  1.0509311575797060E-01
  5.7980197756259830E-02  6.9352149975391297E-16  1.9296959916007120E-02  1.6304399433389151E-15 -3.7768412947414864E-01  1.2220137014285220E-16  9.8058513201704764E-02  7.2984151706310738E-15
 -1.5421724787645150E-15  5.9844520233110460E-02 -4.0941171803471075E-15  8.3874486529705611E-02  1.3763755875043940E-16 -2.1637406388894725E-01 -2.7597202291971382E-15  4.4582355684879543E-03
 -1.0591065916379691E-02  3.3067853864385315E-15  9.0404930275267067E-02 -8.3877801867790777E-15  9.8058513201704736E-02 -2.6523124655043222E-15 -2.0060126750838830E-01  1.9581392756137602E-15
 -8.9206240760005547E-16 -7.7110432192747033E-03  7.2570491388201118E-15  1.0509311575797156E-01  7.0942838369194263E-15  4.4582355684883602E-03  1.9162969843173980E-15 -2.0860834825706637E-01
  4.7071910486761931E-01 -5.7081063936266023E-16 -8.1932694719804605E-02 -1.8016298152492772E-16 -7.1936844032782818E-02  5.5383477553356983E-16  4.0097053970845765E-02  3.0873976663152249E-15
 -5.7081063936266023E-16  3.7860624633461326E-01 -2.4355162427483289E-16 -8.9698466138558419E-02 -5.9676337204720394E-16 -3.1983043207330288E-02 -5.1294034204207889E-15  4.6443443451721064E-02
 -8.1932694719804605E-02 -2.4355162427483289E-16  3.6046971186058280E-01 -2.5621398381073775E-16  2.4934624743259358E-03  2.4926134330324731E-15 -7.1462333482767038E-02 -6.0018844012429312E-15
 -1.8016298152492772E-16 -8.9698466138558419E-02 -2.5621398381073775E-16  4.1070502762954608E-01 -9.0127481402045314E-16 -6.1325659940150788E-02  6.8118266001522382E-15 -1.0499513460545987E-01
 -7.1936844032782818E-02 -5.9676337204720394E-16  2.4934624743259358E-03 -9.0127481402045314E-16  3.7619788506590945E-01  2.4228322190930552E-16 -7.3580340883676362E-02 -5.5036397522789344E-15
  5.5383477553356983E-16 -3.1983043207330288E-02  2.4926134330324731E-15 -6.1325659940150788E-02  2.4228322190930552E-16  2.9868441036834964E-01 -1.5135161178832159E-15  6.3719630850196558E-03
  4.0097053970845765E-02 -5.1294034204207889E-15 -7.1462333482767038E-02  6.8118266001522382E-15 -7.3580340883676362E-02 -1.5135161178832159E-15  3.6635160950801521E-01 -6.4215200987796521E-15
  3.0873976663152249E-15  4.6443443451721064E-02 -6.0018844012429312E-15 -1.0499513460545987E-01 -5.5036397522789344E-15  6.3719630850196558E-03 -6.4215200987796521E-15  4.3687353296147885E-01
 -6.0437988689444285E-16  1.3108814642232669E-01 -5.7471581569840436E-17 -5.3374875158934382E-02 -4.2411280920674089E-16 -1.9727751340072482E-02 -3.7303288808304956E-15  3.5900518174419645E-02
  1.3108814642232669E-01  3.8287134068649590E-16  8.4287930434451416E-02 -6.4260538077775234E-17 -4.6462761431244906E-02  1.6727786352127493E-15 -1.7083513607032110E-02 -1.5218289834591585E-15
 -5.7471581569840436E-17  8.4287930434451416E-02 -6.5625799179555432E-16  1.0512506691118649E-01 -1.1864320921780310E-15 -5.4187565575989541E-02  7.4969547246298897E-16 -2.5375182091315177E-02
 -5.3374875158934382E-02 -6.4260538077775234E-17  1.0512506691118649E-01  1.1646913870579032E-15  1.4217823021249821E-02  8.0755607009310429E-16 -4.8323310030734236E-02 -4.5112254701331690E-15
 -4.2411280920674089E-16 -4.6462761431244906E-02 -1.1864320921780310E-15  1.4217823021249821E-02  4.4554673038411613E-15  8.8644002526670540E-02  1.1948896027648520E-14 -8.2626515303100931E-02
 -1.9727751340072482E-02  1.6727786352127493E-15 -5.4187565575989541E-02  8.0755607009310429E-16  8.8644002526670540E-02 -1.0948945624643542E-14  1.1168127506559812E-01  1.0042083886285790E-14
 -3.7303288808304956E-15 -1.7083513607032110E-02  7.4969547246298897E-16 -4.8323310030734236E-02  1.1948896027648520E-14  1.1168127506559812E-01 -3.6955675515730745E-15  6.0603500749048966E-02
  3.5900518174419645E-02 -1.5218289834591585E-15 -2.5375182091315177E-02 -4.5112254701331690E-15 -8.2626515303100931E-02  1.0042083886285790E-14  6.0603500749048966E-02  9.6631502023508394E-15
 -8.1932694719804577E-02 -7.1692478805204755E-17  8.1610417009335773E-02  7.7107195156471075E-17  1.3382842400411340E-02  1.0717686025667401E-15 -3.8261736624122203E-02 -2.9962623120840749E-15
 -7.1692478805204755E-17  8.5348921966459396E-03 -2.5123984896005832E-16  7.0795918519327275E-02 -7.4031183014385723E-16 -3.4930234779281394E-02  1.1339165446264264E-15 -2.3146105338257408E-02
  8.1610417009335773E-02 -2.5123984896005832E-16  3.6119268831768261E-03 -5.1462743261495254E-17 -3.0548058331587590E-02  8.1500338739716716E-16 -4.5209685034520650E-03 -7.0340816043636567E-16
  7.7107195156471075E-17  7.0795918519327275E-02 -5.1462743261495254E-17 -4.9777517659534767E-02 -3.3325768752719128E-16  3.8238796336127201E-03 -4.6951740165915484E-15  5.6169543801824165E-02
  1.3382842400411340E-02 -7.4031183014385723E-16 -3.0548058331587590E-02 -3.3325768752719128E-16 -3.0623762597090314E-02 -6.6424587333133944E-16  7.6452975626742539E-02  6.2773894457806277E-15
  1.0717686025667401E-15 -3.4930234779281394E-02  8.1500338739716716E-16  3.8238796336127201E-03 -6.6424587333133944E-16  5.2631932148285855E-02  1.1786528189728319E-15 -8.8977942122110062E-03
 -3.8261736624122203E-02  1.1339165446264264E-15 -4.5209685034520650E-03 -4.6951740165915484E-15  7.6452975626742539E-02  1.1786528189728319E-15 -1.7337899854573780E-02  6.1832108945987550E-15
 -2.9962623120840749E-15 -2.3146105338257408E-02 -7.0340816043636567E-16  5.6169543801824165E-02  6.2773894457806277E-15 -8.8977942122110062E-03  6.1832108945987550E-15 -8.5723487611808064E-02
 -1.8238369413023571E-16 -5.3374875158934361E-02  7.1233834954684798E-17  8.1430030806715167E-02 -1.3471194006053235E-16 -1.5922855570236906E-02  3.6910424625051308E-15 -4.8926348756396315E-02
 -5.3374875158934361E-02 -3.5436686522669249E-16  2.8573968235673406E-02  6.9078780918319984E-16  1.6201281039598753E-02  3.5537807840298228E-16 -2.7993443811173975E-02 -2.5515104656710988E-15
  7.1233834954684798E-17  2.8573968235673406E-02 -5.3270382295361734E-17 -2.9276216530120604E-02 -1.5286435070318695E-16  3.9766191345485449E-03 -3.3128292789427216E-15  3.9311283509009358E-02
  8.1430030806715167E-02  6.9078780918319984E-16 -2.9276216530120604E-02 -1.1979865383121824E-15 -3.6038755163416480E-02 -3.1061867842928002E-16  4.0582923604978997E-02  4.0913948751818588E-15
 -1.3471194006053235E-16  1.6201281039598753E-02 -1.5286435070318695E-16 -3.6038755163416480E-02 -2.1970671478598149E-16  1.1219797573721850E-02 -4.8863638383971665E-15  6.6173348013236988E-02
 -1.5922855570236906E-02  3.5537807840298228E-16  3.9766191345485449E-03 -3.1061867842928002E-16  1.1219797573721850E-02 -5.3075846167953718E-16  1.2695908827020641E-03  3.6569894086219770E-16
  3.6910424625051308E-15 -2.7993443811173975E-02 -3.3128292789427216E-15  4.0582923604978997E-02 -4.8863638383971665E-15  1.2695908827020641E-03  1.0030900899202723E-14 -5.8444498315098549E-02
 -4.8926348756396315E-02 -2.5515104656710988E-15  3.9311283509009358E-02  4.0913948751818588E-15  6.6173348013236988E-02  3.6569894086219770E-16 -5.8444498315098549E-02 -1.0000145048468184E-14
